GLOBAL;jour_ferie.;pont.conge.;holiday;Semaine;Annee;Temp;pluie;autre;Greve_nationale;prof_nationale;Total_reservations;jour_jeudi;jour_lundi;jour_mardi;jour_mercredi;jour_vendredi
571;0;0;0;4;2023;2;1.5;0;0;0;255;True;False;False;False;False
383;0;0;0;4;2023;3;0.0;0;0;0;153;False;False;False;False;True
523;0;0;0;5;2023;5;0.2;0;0;0;278;False;True;False;False;False
324;0;0;0;5;2023;2;0.0;0;1;1;151;False;False;True;False;False
561;0;0;0;5;2023;7;0.8;0;0;0;241;False;False;False;True;False
533;0;0;0;5;2023;5;0.0;1;0;0;210;True;False;False;False;False
426;0;0;0;5;2023;8;0.0;0;0;0;204;False;False;False;False;True
553;0;0;0;6;2023;3;0.0;0;0;0;265;False;True;False;False;False
381;0;0;0;6;2023;2;0.0;0;1;1;178;False;False;True;False;False
644;0;0;0;6;2023;0;0.0;0;0;0;288;False;False;False;True;False
628;0;0;0;6;2023;-1;0.0;0;0;0;302;True;False;False;False;False
453;0;0;0;6;2023;4;0.0;0;0;0;206;False;False;False;False;True
561;0;0;0;7;2023;4;0.0;0;0;0;273;False;True;False;False;False
562;0;0;0;7;2023;5;0.0;0;0;0;270;False;False;True;False;False
627;0;0;0;7;2023;5;0.0;0;0;0;332;False;False;False;True;False
560;0;0;0;7;2023;7;0.0;0;1;1;276;True;False;False;False;False
432;0;0;0;7;2023;10;0.0;0;0;0;158;False;False;False;False;True
449;0;0;1;8;2023;6;0.0;0;0;0;165;False;True;False;False;False
505;0;0;1;8;2023;6;0.0;0;0;0;194;False;False;True;False;False
500;0;0;1;8;2023;9;0.3;0;0;0;226;False;False;False;True;False
462;0;0;1;8;2023;7;0.3;0;0;0;194;True;False;False;False;False
302;0;0;1;8;2023;4;0.0;0;0;0;80;False;False;False;False;True
401;0;0;1;9;2023;-1;0.0;0;0;0;162;False;True;False;False;False
510;0;0;1;9;2023;-1;0.0;0;0;0;234;False;False;True;False;False
624;0;0;1;9;2023;0;0.0;0;0;0;239;False;False;False;True;False
586;0;0;1;9;2023;-1;0.0;0;0;0;225;True;False;False;False;False
393;0;0;1;9;2023;1;0.0;0;0;0;82;False;False;False;False;True
713;0;0;0;10;2023;5;0.0;0;0;0;275;False;True;False;False;False
427;0;0;0;10;2023;3;0.0;0;1;1;168;False;False;True;False;False
604;0;0;0;10;2023;7;3.0;0;1;1;295;False;False;False;True;False
705;0;0;0;10;2023;10;0.8;0;0;0;250;True;False;False;False;False
502;0;0;0;10;2023;8;0.4;0;0;0;145;False;False;False;False;True
728;0;0;0;11;2023;13;0.1;0;0;0;320;False;True;False;False;False
818;0;0;0;11;2023;9;0.6;0;0;0;310;False;False;True;False;False
738;0;0;0;11;2023;3;0.0;0;1;1;261;False;False;False;True;False
798;0;0;0;11;2023;7;0.0;0;0;0;307;True;False;False;False;False
549;0;0;0;11;2023;10;0.0;0;0;0;195;False;False;False;False;True
731;0;0;0;12;2023;8;0.0;1;0;0;258;False;True;False;False;False
841;0;0;0;12;2023;9;0.1;1;0;0;296;False;False;True;False;False
795;0;0;0;12;2023;10;1.3;1;0;0;306;False;False;False;True;False
499;0;0;0;12;2023;11;0.8;0;1;1;201;True;False;False;False;False
501;0;0;0;12;2023;11;0.7;0;0;0;179;False;False;False;False;True
657;0;0;0;13;2023;6;0.0;0;0;0;246;False;True;False;False;False
592;0;0;0;13;2023;3;0.0;0;1;1;236;False;False;True;False;False
730;0;0;0;13;2023;9;0.0;0;0;0;290;False;False;False;True;False
694;0;0;0;13;2023;13;0.3;0;0;0;292;True;False;False;False;False
484;0;0;0;13;2023;11;2.2;0;0;0;142;False;False;False;False;True
666;0;0;0;14;2023;3;0.0;0;0;0;249;False;True;False;False;False
739;0;0;0;14;2023;2;0.0;0;0;0;306;False;False;True;False;False
741;0;0;0;14;2023;3;0.0;0;0;0;306;False;False;False;True;False
608;0;0;0;14;2023;8;0.7;0;1;1;216;True;False;False;False;False
449;0;0;0;14;2023;5;0.1;0;0;0;110;False;False;False;False;True
29;1;0;0;15;2023;10;0.0;0;0;0;12;False;True;False;False;False
680;0;0;0;15;2023;7;0.2;0;0;0;282;False;False;True;False;False
697;0;0;0;15;2023;10;2.6;0;0;0;285;False;False;False;True;False
644;0;0;0;15;2023;7;0.5;0;1;1;250;True;False;False;False;False
504;0;0;0;15;2023;5;0.1;0;0;0;151;False;False;False;False;True
694;0;0;0;16;2023;6;0.1;0;0;0;300;False;True;False;False;False
766;0;0;0;16;2023;6;0.0;0;0;0;353;False;False;True;False;False
713;0;0;0;16;2023;7;0.0;0;0;0;292;False;False;False;True;False
692;0;0;0;16;2023;5;0.0;0;1;0;275;True;False;False;False;False
471;0;0;0;16;2023;7;1.4;0;0;0;161;False;False;False;False;True
568;0;0;1;17;2023;9;0.7;0;0;0;186;False;True;False;False;False
684;0;0;1;17;2023;6;0.2;0;0;0;288;False;False;True;False;False
658;0;0;1;17;2023;6;0.0;0;0;0;228;False;False;False;True;False
564;0;0;1;17;2023;9;0.1;0;0;0;204;True;False;False;False;False
382;0;0;1;17;2023;14;1.3;0;1;1;94;False;False;False;False;True
21;1;0;0;19;2023;10;0.0;0;0;0;15;False;True;False;False;False
606;0;0;0;19;2023;12;2.2;0;0;0;231;False;False;True;False;False
688;0;0;0;19;2023;10;0.5;0;0;0;291;False;False;False;True;False
671;0;0;0;19;2023;8;0.0;0;0;0;248;True;False;False;False;False
465;0;0;0;19;2023;8;0.6;0;0;0;184;False;False;False;False;True
640;0;0;0;20;2023;10;1.0;0;0;0;293;False;True;False;False;False
647;0;0;0;20;2023;5;0.0;0;0;0;299;False;False;True;False;False
547;0;0;0;20;2023;6;0.0;0;0;0;215;False;False;False;True;False
23;1;0;0;20;2023;8;0.0;0;0;0;14;True;False;False;False;False
197;0;1;0;20;2023;7;0.0;0;0;0;39;False;False;False;False;True
622;0;0;0;21;2023;12;0.0;0;0;0;263;False;True;False;False;False
797;0;0;0;21;2023;12;0.0;0;0;0;370;False;False;True;False;False
718;0;0;0;21;2023;8;0.0;0;0;0;367;False;False;False;True;False
695;0;0;0;21;2023;10;0.0;0;0;0;302;True;False;False;False;False
443;0;0;0;21;2023;10;0.0;0;0;0;136;False;False;False;False;True
418;1;0;0;22;2023;12;0.0;0;0;0;136;False;True;False;False;False
693;0;0;0;22;2023;10;0.0;0;0;0;313;False;False;True;False;False
691;0;0;0;22;2023;11;0.0;0;0;0;339;False;False;False;True;False
702;0;0;0;22;2023;13;0.0;0;0;0;315;True;False;False;False;False
486;0;0;0;22;2023;9;0.0;0;0;0;178;False;False;False;False;True
745;0;0;0;23;2023;12;0.0;0;0;0;326;False;True;False;False;False
801;0;0;0;23;2023;12;0.0;0;1;1;374;False;False;True;False;False
771;0;0;0;23;2023;14;0.0;0;0;0;353;False;False;False;True;False
780;0;0;0;23;2023;14;0.0;0;0;0;374;True;False;False;False;False
525;0;0;0;23;2023;17;0.0;0;0;0;200;False;False;False;False;True
713;0;0;0;24;2023;16;1.7;0;0;0;304;False;True;False;False;False
824;0;0;0;24;2023;16;0.0;1;0;0;360;False;False;True;False;False
775;0;0;0;24;2023;16;0.0;0;0;0;291;False;False;False;True;False
771;0;0;0;24;2023;18;0.0;0;0;0;293;True;False;False;False;False
517;0;0;0;24;2023;16;0.0;0;0;0;167;False;False;False;False;True
638;0;0;0;25;2023;16;0.1;0;0;0;234;False;True;False;False;False
749;0;0;0;25;2023;18;1.7;0;0;0;314;False;False;True;False;False
721;0;0;0;25;2023;18;1.2;0;0;0;306;False;False;False;True;False
660;0;0;0;25;2023;17;12.9;0;0;0;335;True;False;False;False;False
589;0;0;0;25;2023;14;0.0;0;0;0;193;False;False;False;False;True
663;0;0;0;26;2023;16;0.0;0;0;0;284;False;True;False;False;False
760;0;0;0;26;2023;14;0.0;0;0;0;325;False;False;True;False;False
691;0;0;0;26;2023;15;0.0;0;0;0;289;False;False;False;True;False
660;0;0;0;26;2023;19;2.3;0;0;0;307;True;False;False;False;False
463;0;0;0;26;2023;13;0.0;0;0;0;145;False;False;False;False;True
611;0;0;0;27;2023;15;0.0;0;0;0;241;False;True;False;False;False
682;0;0;0;27;2023;13;0.0;0;0;0;290;False;False;True;False;False
657;0;0;0;27;2023;11;1.3;0;0;0;272;False;False;False;True;False
628;0;0;0;27;2023;13;0.0;0;0;0;241;True;False;False;False;False
432;0;0;0;27;2023;16;0.0;0;0;0;132;False;False;False;False;True
562;0;0;1;28;2023;19;0.0;0;0;0;248;False;True;False;False;False
689;0;0;1;28;2023;19;0.0;0;0;0;257;False;False;True;False;False
641;0;0;1;28;2023;16;0.0;0;0;0;307;False;False;False;True;False
470;0;1;1;28;2023;15;0.0;0;0;0;194;True;False;False;False;False
19;1;0;1;28;2023;16;0.0;0;0;0;9;False;False;False;False;True
530;0;0;1;29;2023;15;0.0;0;0;0;184;False;True;False;False;False
589;0;0;1;29;2023;14;0.0;0;0;0;236;False;False;True;False;False
615;0;0;1;29;2023;14;0.0;0;0;0;246;False;False;False;True;False
597;0;0;1;29;2023;15;0.0;0;0;0;245;True;False;False;False;False
382;0;0;1;29;2023;16;0.0;0;0;0;90;False;False;False;False;True
553;0;0;1;30;2023;17;0.8;0;0;0;162;False;True;False;False;False
604;0;0;1;30;2023;14;1.8;0;0;0;186;False;False;True;False;False
610;0;0;1;30;2023;13;0.0;0;0;0;237;False;False;False;True;False
560;0;0;1;30;2023;18;0.4;0;0;0;211;True;False;False;False;False
307;0;0;1;30;2023;18;1.6;0;0;0;81;False;False;False;False;True
416;0;0;1;31;2023;17;1.5;0;0;0;112;False;True;False;False;False
492;0;0;1;31;2023;17;3.4;0;0;0;150;False;False;True;False;False
476;0;0;1;31;2023;18;10.5;0;0;0;147;False;False;False;True;False
457;0;0;1;31;2023;17;1.9;0;0;0;133;True;False;False;False;False
252;0;0;1;31;2023;13;0.2;0;0;0;75;False;False;False;False;True
381;0;0;1;32;2023;12;0.0;0;0;0;99;False;True;False;False;False
418;0;0;1;32;2023;13;0.3;0;0;0;138;False;False;True;False;False
406;0;0;1;32;2023;15;0.2;0;0;0;111;False;False;False;True;False
383;0;0;1;32;2023;16;0.1;0;0;0;115;True;False;False;False;False
227;0;0;1;32;2023;18;2.9;0;0;0;49;False;False;False;False;True
435;0;0;1;34;2023;18;0.0;0;0;0;127;False;True;False;False;False
507;0;0;1;34;2023;19;0.0;0;0;0;183;False;False;True;False;False
495;0;0;1;34;2023;18;0.0;0;0;0;159;False;False;False;True;False
442;0;0;1;34;2023;21;6.9;0;0;0;167;True;False;False;False;False
287;0;0;1;34;2023;19;0.2;0;0;0;71;False;False;False;False;True
486;0;0;1;35;2023;14;0.1;0;0;0;166;False;True;False;False;False
570;0;0;1;35;2023;12;0.0;0;0;0;225;False;False;True;False;False
608;0;0;1;35;2023;13;0.1;0;0;0;235;False;False;False;True;False
516;0;0;1;35;2023;12;0.1;0;0;0;192;True;False;False;False;False
341;0;0;1;35;2023;16;0.4;0;0;0;109;False;False;False;False;True
529;0;0;0;36;2023;18;0.0;0;0;0;214;False;True;False;False;False
660;0;0;0;36;2023;19;0.0;0;0;0;287;False;False;True;False;False
630;0;0;0;36;2023;22;0.0;0;0;0;290;False;False;False;True;False
649;0;0;0;36;2023;19;0.0;0;0;0;293;True;False;False;False;False
391;0;0;0;36;2023;23;0.0;0;0;0;122;False;False;False;False;True
661;0;0;0;37;2023;21;0.0;0;0;0;281;False;True;False;False;False
718;0;0;0;37;2023;18;0.0;0;0;0;309;False;False;True;False;False
725;0;0;0;37;2023;16;0.0;0;0;0;252;False;False;False;True;False
761;0;0;0;37;2023;17;0.0;0;0;0;301;True;False;False;False;False
453;0;0;0;37;2023;16;0.0;0;0;0;153;False;False;False;False;True
676;0;0;0;38;2023;18;0.3;0;0;0;254;False;True;False;False;False
764;0;0;0;38;2023;15;0.0;0;0;0;312;False;False;True;False;False
714;0;0;0;38;2023;16;0.0;0;0;0;275;False;False;False;True;False
677;0;0;0;38;2023;17;3.1;0;0;0;279;True;False;False;False;False
558;0;0;0;38;2023;12;0.0;0;0;0;167;False;False;False;False;True
624;0;0;0;39;2023;14;0.0;0;0;0;253;False;True;False;False;False
713;0;0;0;39;2023;16;0.0;0;0;0;271;False;False;True;False;False
623;0;0;0;39;2023;17;0.0;0;0;0;264;False;False;False;True;False
659;0;0;0;39;2023;16;0.0;0;0;0;271;True;False;False;False;False
408;0;0;0;39;2023;19;0.1;0;0;0;161;False;False;False;False;True
